wavelength,emission_minus_background,calibrated_emission
271.739122871536,-979,-56.393178302274166
272.29531709766,-998,-57.48763222233873
272.851498863684,-993,-56.94483489206827
273.407668169609,-1031,-60.49139088979893
273.963825015436,-999,-59.71381212996971
274.519969401163,-970,-59.527037163853855
275.076101326792,-989,-63.102353946311865
275.632220792322,-962,-62.88992222126146
276.188327797753,-1017,-68.12628712445638
276.744422343085,-999,-70.28157005294707
277.300504428318,-1000,-71.8572556801623
277.856574053453,-994,-73.19058555272818
278.412631218488,-987,-76.05225604251343
278.968675923425,-1007,-77.82577569300327
279.524708168262,-994,-78.75657653793954
280.080727953001,-1008,-82.01718505675528
280.636735277641,-985,-81.73491468828597
281.192730142182,-1010,-86.45431312456482
281.748712546624,-1017,-88.83396222722699
282.304682490967,-991,-89.59447110701889
282.860639975212,-963,-88.15811456980936
283.416584999357,-988,-94.67316726985352
283.972517563403,-1006,-99.20890770897348
284.528437667351,-980,-99.42748050580155
285.0843453112,-999,-103.83340396291977
285.64024049495,-1015,-106.52498764037529
286.196123218601,-1003,-108.31108086421209
286.751993482153,-1006,-112.55028976170821
287.307851285606,-999,-114.33858319225051
287.86369662896,-995,-117.31588120044573
288.419529512216,-1034,-125.50768063847414
288.975349935372,-994,-121.13208624366482
289.53115789843,-995,-121.85777299498177
290.086953401388,-996,-120.70258212483544
290.642736444248,-993,-119.99942350580069
291.198507027009,-976,-117.51390743701775
291.754265149671,-988,-120.90429308539878
292.310010812235,-975,-123.54028729167548
292.865744014699,-1011,-133.61153280081592
293.421464757064,-959,-135.45757019156
293.977173039331,-985,-150.81416325806148
294.532868861498,-987,-164.37444956041068
295.088552223567,-1006,-184.17057754717862
295.644223125537,-1017,-200.86208743792756
296.199881567408,-978,-201.45447864329037
296.75552754918,-988,-210.90511160707607
297.311161070853,-989,-208.95455238902912
297.866782132427,-1006,-216.60424045835978
298.422390733903,-1007,-223.73893377895686
298.977986875279,-1019,-237.83849152679116
299.533570556557,-999,-243.82253038605796
300.089141777735,-983,-251.89832394907202
300.644700538815,-985,-255.22884991729333
301.200246839796,-984,-254.87315628775644
301.755780680678,-1014,-274.1311653145516
302.311302061461,-978,-267.8195134813218
302.866810982146,-1001,-283.86083720718824
303.422307442731,-1026,-303.8361989077099
303.977791443217,-1000,-292.569562916609
304.533262983605,-989,-291.9078434498459
305.088722063894,-1007,-302.0500367252378
305.644168684084,-989,-301.04733428417353
306.199602844174,-1004,-317.92467985290904
306.755024544167,-1007,-320.9882614623631
307.31043378406,-994,-323.17707984116976
307.865830563854,-1024,-342.49754418188184
308.421214883549,-986,-337.92392238342336
308.976586743146,-986,-345.8964040478243
309.531946142643,-977,-353.1098504469901
310.087293082042,-1006,-366.98914863589835
310.642627561342,-1006,-374.78679833852067
311.197949580543,-977,-375.20387615558707
311.753259139645,-972,-379.8568147308986
312.308556238648,-985,-390.32923493516563
312.863840877552,-981,-392.1238412047278
313.419113056357,-1017,-415.96837965508536
313.974372775064,-988,-409.01385536562657
314.529620033671,-981,-410.3571978730291
315.08485483218,-997,-419.8450187958909
315.64007717059,-994,-419.0989284403865
316.195287048901,-976,-425.42922966762546
316.750484467113,-1003,-444.4200836344616
317.305669425226,-1038,-477.93330887573336
317.86084192324,-1015,-485.4624217187873
318.416001961155,-1000,-480.292892891665
318.971149538972,-999,-486.61268917397706
319.526284656689,-970,-482.52551973969406
320.081407314308,-1016,-499.2547566546649
320.636517511828,-989,-490.151766475889
321.191615249249,-1008,-514.0004920176369
321.746700526571,-1002,-508.9344448932808
322.301773343794,-1003,-527.7009426759914
322.856833700918,-1010,-534.8758379021185
323.411881597943,-1005,-541.1750273990109
323.96691703487,-990,-549.0920780958779
324.521940011697,-1007,-565.2217071843181
325.076950528426,-1002,-583.0306541567152
325.631948585056,-1020,-589.855604225027
326.186934181586,-1009,-585.2016870428541
326.741907318018,-993,-581.9126670767587
327.296867994352,-1000,-601.865855222141
327.851816210586,-1009,-615.9683868946861
328.406751966721,-1013,-638.5195778905176
328.961675262757,-1006,-638.6430372738755
329.516586098695,-1009,-638.1361338847296
330.071484474534,-993,-647.4600302624366
330.626370390273,-999,-655.4870165829393
331.181243845914,-1000,-674.631983932933
331.736104841456,-997,-676.439431220963
332.290953376899,-969,-667.2949575595508
332.845789452243,-999,-699.3745144740149
333.400613067489,-985,-693.0561288213004
333.955424222635,-987,-709.4270711048695
334.510222917683,-959,-699.4853118941351
335.065009152631,-975,-714.0038424583302
335.619782927481,-986,-734.2642085766181
336.174544242232,-968,-719.0431078794176
336.729293096884,-988,-734.6504176582812
337.284029491437,-964,-737.6547895990553
337.838753425891,-993,-763.8723750674008
338.393464900246,-997,-803.4679941590878
338.948163914503,-991,-805.8982217783553
339.50285046866,-969,-788.8145195575061
340.057524562719,-996,-823.5199456852557
340.612186196679,-986,-798.4612425147875
341.166835370539,-986,-824.6654382398547
341.721472084301,-974,-817.5123707449185
342.276096337964,-987,-829.5310242847721
342.830708131529,-995,-851.2704855242762
343.385307464994,-979,-825.7973102723491
343.93989433836,-970,-812.8733184371051
344.494468751628,-977,-825.6331619652768
345.049030704796,-980,-831.0333922861471
345.603580197866,-975,-830.5786506227419
346.158117230837,-972,-852.1300795293702
346.712641803709,-983,-854.686196086345
347.267153916482,-986,-857.7617260455041
347.821653569156,-1010,-900.2674390778134
348.376140761731,-968,-853.8236111541507
348.930615494207,-979,-887.6130658302224
349.485077766585,-981,-907.9079764209919
350.039527578864,-987,-900.2195351766047
350.593964931043,-977,-898.4634090467507
351.148389823124,-1007,-916.0096134081809
351.702802255106,-983,-898.6296141776684
352.257202226989,-969,-895.4436991729725
352.811589738773,-994,-920.134282579817
353.365964790458,-985,-932.2223925274151
353.920327382045,-954,-899.2520789450537
354.474677513532,-962,-904.4023383902752
355.029015184921,-953,-902.7822644132132
355.58334039621,-941,-890.4010791060582
356.137653147401,-963,-922.1964048814316
356.691953438493,-956,-924.5009577807174
357.246241269486,-933,-909.2117203567092
357.80051664038,-964,-940.6166388879657
358.354779551176,-930,-898.9357464374394
358.909030001872,-936,-891.963156096807
359.463267992469,-941,-903.9953617686016
360.017493522968,-945,-901.9560958385503
360.571706593368,-951,-910.4682345342896
361.125907203668,-932,-908.880743578994
361.68009535387,-944,-908.5607577261364
362.234271043973,-895,-864.2374303935886
362.788434273977,-944,-909.9217852728063
363.342585043883,-881,-844.158810018568
363.896723353689,-900,-868.595995219635
364.450849203396,-908,-881.5406697381065
365.004962593005,-899,-868.7486665740279
365.559063522515,-886,-868.7936374920771
366.113151991925,-875,-864.0597885165943
366.667228001237,-877,-881.6027330647729
367.22129155045,-853,-872.5193148854154
367.775342639564,-851,-879.3251488792677
368.329381268579,-830,-866.0945463659244
368.883407437496,-852,-884.8015902936736
369.437421146313,-792,-830.4138141693293
369.991422395032,-794,-833.5582927035613
370.545411183651,-791,-840.1630530521625
371.099387512172,-767,-818.7463754904087
